CID,SMILES
974557,CC1=C(C(=CC=C1)C)OCC(=O)NC2CC2
9206616,CC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC=CC3=C2N=CC=C3
2825454,CN(C)/C=C(/C1=NN=NN1C2=CC=CC=C2)\C(=O)C3=CC=CC=C3
9116820,C1=CC=C2C(=C1)C(=O)N(C2=O)COC(=O)C3=CC(=CC=C3)OC(F)F
24817998,CCCC1=CC=C(C=C1)C(=O)CCC(=O)NNC(=O)C2=CC=NC=C2
2853015,C1=CC=C(C=C1)N(CC2=CC(=CC=C2)F)S(=O)(=O)C3=CC=CC=C3
866888,COC1=CC=C(C=C1)C2=NOC(=N2)CCC(=O)NCC3=CC=CO3
7117226,CC1=CC(=CC=C1)CSC2=NC=NC3=CC=CC=C32
2902504,CCOC(=O)C1CCCN(C1)CCC(=O)NC2=CC(=CC(=C2)C)C
6470411,CCN1C(=C(C=N1)S(=O)(=O)NC2=CN=CC=C2)C
786693,C1CCN(CC1)C(=S)NC(=O)/C=C/C2=CC=CO2
6472743,C1CN(C2=CC=CC=C21)C(=O)C3CC(=O)N(C3)C4=CC=CC=C4
4637250,CC(C)CC1C(=O)N(C(=O)N1)CC(=O)NC2CCCC3=CC=CC=C23
925012,CC(=O)C1=C2C3=CC=CC=C3C(=O)C4=C2C(=CC=C4)N(C1=O)C
2595313,CC(=O)NC1=CC=CC=C1OCC2=NN=C(O2)C3=CC=C(C=C3)Cl
24240201,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3=CC=CC=C3N4CCCC4
3220232,CC1=CC=C(C=C1)C(C(=O)NC(C)(C)C)OC(=O)C2=CC=CO2
923821,CN1C2=CC=CC=C2N=C1NC3=CC=CC=C3
4908437,CSC1=NC=C(C(=N1)C(=O)NCC2=CN=CC=C2)Cl
1504759,CCN1C(=CC(=C(C1=O)C#N)C)C
16305117,CC(C(=O)OCC(=O)NC(=O)NC1CCCCC1)OC2=CC=CC=C2
6500438,CCOC1=C(C=C(C=C1)Br)S(=O)(=O)NC2=NC=NN2
2852346,COC1=CC=C(C=C1)NC(=O)C(CC2=CC=C(C=C2)Cl)CC(=O)O
1245514,CC1=C(C=CC(=C1)F)NC(=O)C2=NC=CN=C2
3144939,C1=CC=C2C(=C1)N(C3=CC=CC=C3S2)CC(CNCCO)O
3220735,CC1=CC=CC=C1C(=O)NC2CCN(CC2)CC(=O)NCC3=CC=CC=C3
16192869,C1CCCC(CC1)NCC2=CC=CC=C2[N+](=O)[O-].C(=O)(C(=O)O)O
4794993,CCOC1=C(C=CC=N1)C(=O)NC(C)CCC2=CC=CC=C2
739596,CC1=CC2=C(C=C1)N=C([N+](=C2C3=CC=CC=C3)[O-])CCl
2964158,CNCC1=C(C=CC2=CC=CC=C21)OCC3=CC=CC=C3.Cl
3228081,COC1=CC=C(C=C1)C2=NOC(=O)N2CC3=CC=CC=C3F
2804858,CC(C)(C)N1C=NNC1=S
2813928,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2=NOC(=C2)C(C)(C)C
2009112,COC1=C(C=C(C=C1)NC(=O)N[C@@H](CCSC)C(=O)O)OC
